date,title,subtitle,claps,responses,story_url
01/08/2019,200M People & Zero Unicorns: Building the next great startup in Pakistan,-,517,7,https://medium.com/swlh/200m-people-zero-unicorns-building-the-next-great-startup-in-pakistan-fccef58318a4?source=collection_archive---------4-----------------------
01/08/2019,Software Development in 2019: The Next Big Things,-,84,0,https://medium.com/swlh/software-development-in-2019-the-next-big-things-21d51720c3a8?source=collection_archive---------5-----------------------
01/08/2019,How Africa can Inspire the Future of the Sharing Economy,-,226,1,https://medium.com/swlh/africas-sharing-economy-4b10abf00e96?source=collection_archive---------6-----------------------
01/08/2019,Resources for New Freelance Writers,-,4K,29,https://medium.com/swlh/resources-for-new-freelance-writers-f4d69c93aac8?source=collection_archive---------7-----------------------
01/08/2019,NLP Text Visualization & Twitter Sentiment Analysis in R,-,126,1,https://medium.com/swlh/nlp-text-visualization-twitter-sentiment-analysis-in-r-65b14240258f?source=collection_archive---------8-----------------------
01/08/2019,Why I Stopped Going for the Cheapest Option,-,1.4K,14,https://medium.com/swlh/why-i-stopped-going-for-the-cheapest-option-a0cdb2f6bd14?source=collection_archive---------9-----------------------
01/08/2019,Wake Up at 4.… AND Get Enough Sleep?,-,487,0,https://medium.com/swlh/wake-up-at-4-and-get-enough-sleep-36f6fb404e12?source=collection_archive---------10-----------------------
01/08/2019,You Need To Unlearn.,"The case for learning, unlearning and relearning.",537,0,https://medium.com/swlh/you-need-to-unlearn-24cbae86f132?source=collection_archive---------11-----------------------
01/08/2019,Behind the Scenes of Millennial Sameness,Decoding millennial sameness.,651,0,https://medium.com/swlh/behind-the-scenes-of-millennial-sameness-d8087b30d1cb?source=collection_archive---------12-----------------------
01/08/2019,How to Properly Protege,A Practical and Proactive Guide to Mentor ship,207,2,https://medium.com/swlh/how-to-properly-protege-45ca38504f84?source=collection_archive---------13-----------------------
01/08/2019,I Approached 400 Businesses In 10 Days — Here’s What Happened,I decided to jumpstart client generation…,278,1,https://medium.com/swlh/i-approached-400-businesses-in-10-days-heres-what-happened-d5643f0be26f?source=collection_archive---------14-----------------------
01/08/2019,Gaining Competitive Advantage With Emotional Intelligence,-,8,1,https://medium.com/swlh/gaining-competitive-advantage-with-emotional-intelligence-abb6b81701ff?source=collection_archive---------15-----------------------
01/08/2019,How is software engineering being adopted by startups?,Researchers have been discussing how SE is…,382,0,https://medium.com/swlh/how-is-software-engineering-being-adopted-by-startups-f4df85fa51a2?source=collection_archive---------16-----------------------
